landcover,timestep,depth,tea type,code,code_all,code_all1,ml_mean,wrem_mean,d15N,∂15N_change,d13C,∂13C_change,%N,%N_change,%Corg,%C_change,CN_ratio,C:N_change,ABS,abs std. dev,%T,%trans std. dev,%trans_rel,ar_mean,Wt_mean,S_mean,k_mean,asy_mean,ml_g_mean,ml_r_mean,site_pH,site_ORP,site_%DO,site_µS/cm,site_MΩ*cm,site_WC%,site_BD,site_soilTavg,site_WTDavg,site_stdev,precip,acid_rel,arom_rel,carbo_rel,aliph_rel,acid,arom,carbo,aliph,carboArom,carboAliph,carboAcid
AC,6,50,g,g50,tbi_g,tbi_g50,78.13214651,21.86785349,-1.013221544,3.313280334,-27.92038625,1.88052225,2.7407,0.77945,56.2879,-7.39525,20.53778232,-6.64827382,1.1516,0.003847077,7.06,0.089442719,16.74,0.578838855,0.462486826,-0.048621115,0.014664111,0.421161393,78.13214651,47.79145775,3.46,488.6,91.76666667,155,0.008633333,88.58740375,0.11095,25.81195951,-0.052620248,0.23000801,242.8666667,0.0304,-0.0033,-0.0731,0.0057,0.0694,0.0682,0.1515,0.165,2.221407625,0.3165,2.182997118
AC,6,50,r,r50,tbi_r,tbi_r50,47.79145775,52.20854225,1.060498942,0.072335458,-26.35304582,1.50139082,0.7335,-1.762475,54.1328,-3.131625,73.80068166,-23.98052216,0.5144,0.002607681,30.56,0.194935887,-7.82,0.578838855,0.462486826,-0.048621115,0.014664111,0.421161393,78.13214651,47.79145775,3.46,488.6,91.76666667,155,0.008633333,88.58740375,0.11095,25.81195951,-0.052620248,0.23000801,242.8666667,5.00E-04,-0.0084,-0.1226,-0.0252,0.0497,0.0433,0.0885,0.1035,2.043879908,0.192,1.780684105
BA,12,8,g,g8,tbi_g,tbi_g8,73.84409643,26.15590357,4.61401026,-2.31395147,-27.00610433,0.96624033,5.3329,-1.81275,53.1136,-4.22095,9.959609218,3.929899282,1.3472,0.01578607,4.48,0.178885438,19.32,0.548105544,0.3076998,0.007055175,0.003658366,0.466021654,73.84409643,61.6934887,3.2,431.3,49.8,96,0.004,77.89912372,0.205916667,26.95,-0.286552507,0.16552129,203.4833333,0.0249,0.0443,-0.0929,-0.0017,0.0639,0.1158,0.1317,0.1576,1.137305699,0.2893,2.061032864
BA,12,8,r,r8,tbi_r,tbi_r8,61.6934887,38.3065113,1.060498942,0.072335458,-25.98130482,1.12964982,1.485,-2.513975,53.3624,-2.361225,35.93427609,13.88588341,0.8828,0.019588262,13.1,0.6164414,9.64,0.548105544,0.3076998,0.007055175,0.003658366,0.466021654,73.84409643,61.6934887,3.2,431.3,49.8,96,0.004,77.89912372,0.205916667,26.95,-0.286552507,0.16552129,203.4833333,-0.0159,-0.0159,-0.1423,-0.0568,0.0333,0.0358,0.0688,0.0719,1.921787709,0.1407,2.066066066
BA,3D,8,g,g8,tbi_g,tbi_g8,75.33093715,24.66906285,0.39394,1.90611879,-26.1843197,0.1444557,1.5,2.02015,45,3.89265,30,-16.1104915,0.8706,0.00594138,13.48,0.178885438,10.32,0.558349978,0.420066125,-0.011503583,0.036144872,0.441650022,75.33093715,51.72102716,3.28,458,76.5,239,0.0042,80.34776235,0.183847619,27.83939096,-0.324898903,0.118994183,139.9333333,-3.00E-04,-0.0031,0.1425,0.0532,0.0393,0.0746,0.0821,0.1061,1.100536193,0.1882,2.089058524
BA,3D,8,r,r8,tbi_r,tbi_r8,51.72102716,48.27897284,-1.176763768,2.309598168,-26.56967245,1.71801745,1,-2.028975,45,6.001175,45,4.8201595,0.6596,0.003714835,21.88,0.178885438,0.86,0.558349978,0.420066125,-0.011503583,0.036144872,0.441650022,75.33093715,51.72102716,3.28,458,76.5,239,0.0042,80.34776235,0.183847619,27.83939096,-0.324898903,0.118994183,139.9333333,-0.0099,-0.0038,0.0678,0.0027,0.0591,0.0555,0.1433,0.126,2.581981982,0.2693,2.424703892
BA,3W,8,g,g8,tbi_g,tbi_g8,72.43973589,27.56026411,3.083886407,-0.783827617,-26.89558674,0.85572274,4.9595,-1.43935,50.2066,-1.31395,10.12331888,3.76618962,0.9406,0.019526905,11.48,0.535723809,12.32,0.538220534,0.580093688,0.024962801,0.016832493,0.461779492,72.43973589,37.47210138,3.316666667,487.9,86.56666667,180.6666667,0.0057,81.86627013,0.23864,26.9690906,-0.159850529,0.084031941,345.8,0.0071,-0.0071,-0.1341,-0.0377,0.0461,0.0644,0.0905,0.1216,1.405279503,0.2121,1.963123644
BA,3W,8,r,r8,tbi_r,tbi_r8,37.47210138,62.52789862,1.513496135,-0.380661735,-26.33295171,1.48129671,1.4345,-2.463475,52.6942,-1.693025,36.73349599,13.08666351,0.583,0.011202678,26.14,0.705691151,-3.4,0.538220534,0.580093688,0.024962801,0.016832493,0.461779492,72.43973589,37.47210138,3.316666667,487.9,86.56666667,180.6666667,0.0057,81.86627013,0.23864,26.9690906,-0.159850529,0.084031941,345.8,1.00E-04,0.0145,-0.0914,0.0011,0.0493,0.0662,0.1197,0.1298,1.8081571,0.2495,2.427991886
BA,6,8,g,g8,tbi_g,tbi_g8,76.11856214,23.88143786,5.016674433,-2.716615643,-26.54393984,0.50407584,6.6133,-3.09315,53.1821,-4.28945,8.041688718,5.847819782,0.9396,0.018796276,11.52,0.491934955,12.28,0.565044585,0.425797112,-0.023631494,0.022901354,0.434955415,76.11856214,51.12682086,3.316666667,487.9,86.56666667,180.6666667,0.0057,81.86627013,0.23864,27.32547265,-0.236531588,0.130898066,242.8666667,-0.0061,-5.00E-04,-0.1597,-0.0547,0.0329,0.071,0.0649,0.1046,0.914084507,0.1695,1.972644377
BA,6,8,r,r8,tbi_r,tbi_r8,51.12682086,48.87317914,0.758500813,0.374333587,-26.00139893,1.14974393,1.0689,-2.097875,50.0449,0.956275,46.81906633,3.00109317,0.5494,0.006387488,28.22,0.438178046,-5.48,0.565044585,0.425797112,-0.023631494,0.022901354,0.434955415,76.11856214,51.12682086,3.316666667,487.9,86.56666667,180.6666667,0.0057,81.86627013,0.23864,27.32547265,-0.236531588,0.130898066,242.8666667,0.0026,0.0182,-0.0485,0.0082,0.0518,0.0699,0.1626,0.1369,2.326180258,0.2995,3.138996139
