,depth.x,age,depth_class,depth_class1,code_all,code_all2,code_all1,dC_dAge,%Corg,%N,aCAR,BD.,CN_ratio,d13C,d15N,PAR.,PHI,%T,acid,arom,carbo,aliph,carboArom,carboAliph,carboAcid
19,48,1004,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.392649934,53.7389,0.8875,102.3023306,0.12374,60.55087324,-29.45157619,-0.10233294,0.153846154,1.545,1.72,0.0856,0.0875,0.1444,0.2138,1.650285714,0.675397568,1.686915888
20,52,1030,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.225500472,56.6059,0.9766,90.82820983,0.08424,57.96221585,-29.76241552,0.008353171,0.19047619,1.33,2.48,0.0748,0.0509,0.0895,0.1366,1.758349705,0.655197657,1.196524064
21,56,1051,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.290881599,49.1705,0.9876,98.82177822,0.09044,49.78786958,-29.44154911,0.773093576,0.222222222,1.123333333,0.72,0.099,0.0695,0.1345,0.1839,1.935251799,0.731375748,1.358585859
22,58,1060,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.121319397,55.9846,1.2004,113.3928084,0.09452,46.63828724,-29.46160326,1.225900395,0.214285714,NA,NA,0.086,0.0601,0.1091,0.1673,1.81530782,0.652121937,1.268604651
23,64,1088,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.276713028,58.9782,1.2888,97.10170848,0.08232,45.76210428,-29.58192817,1.869892315,0.2,0.613333333,0.4,0.0982,0.0666,0.1326,0.1916,1.990990991,0.692066806,1.350305499
24,66,1098,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.344981232,55.1236,1.2084,79.02519296,0.07168,45.61701423,-29.68219892,1.678707214,0.2,0.606666667,0.72,0.1126,0.0739,0.1461,0.2173,1.97699594,0.672342384,1.297513321
25,68,1108,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.257078165,56.2817,1.2693,107.2372009,0.090504854,44.34073899,-29.76241552,0.793218324,0.210526316,0.91,0.7,0.0857,0.0582,0.1066,0.1683,1.83161512,0.633392751,1.243873979
26,72,1127,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.283488309,61.4602,1.1533,112.0516488,0.0866,53.29073095,-29.7323343,NA,0.210526316,1.595,0.3,0.0993,0.0654,0.1296,0.1936,1.981651376,0.669421488,1.305135952
27,76,1146,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.401582543,54.1628,1.0406,112.9493988,0.093841584,52.04958678,-29.76241552,0.722781708,0.222222222,1.6375,1.92,0.0686,0.0515,0.0901,0.1382,1.749514563,0.65195369,1.313411079
28,80,1164,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.342828467,49.5483,1.1313,152.9983378,0.146673469,43.7976664,-29.60198232,0.964278678,0.210526316,1.9875,3.46,0.0992,0.0773,0.1941,0.1998,2.510996119,0.971471471,1.956653226
29,84,1183,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.12993502,56.5697,1.0801,82.06049873,0.08341,52.37450236,-29.91282165,0.551721354,0.173913043,1.7475,0.87,0.101,0.0732,0.1419,0.2124,1.93852459,0.668079096,1.404950495
30,88,1206,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.290056068,55.3634,1.1354,79.04190031,0.0928,48.76114145,-29.62203647,0.561783728,0.153846154,1.2075,1.7,0.0844,0.063,0.1308,0.1738,2.076190476,0.752589183,1.549763033
31,92,1232,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.262546737,53.4376,1.1598,56.59505015,0.076783784,46.07484049,-29.49168449,NA,0.137931034,1.215,0.96,0.0897,0.0702,0.1332,0.1874,1.897435897,0.710779082,1.484949833
32,96,1261,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.21862941,52.9522,1.2001,39.85143355,0.062088889,44.1231564,-29.70225307,NA,0.121212121,1.015714286,1.3,0.0574,0.0488,0.0803,0.1223,1.645491803,0.656582175,1.398954704
33,108,1360,50-150,50-100,pal_50-150,pal_50-150,pal_30-100,-1.20756,56.1721,1.0308,49.96171262,0.11118,54.49369422,-29.25103468,0.732844081,0.08,0.895,0.9,0.0784,0.0592,0.1132,0.1434,1.912162162,0.789400279,1.443877551
34,112,1410,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.280988912,54.3298,1.1863,41.32494252,0.106488372,45.7976903,-29.39141374,1.628395345,0.071428571,0.65,0.56,0.0868,0.0689,0.123,0.1821,1.785195936,0.675453048,1.417050691
35,116,1466,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.329820655,58.3739,1.2312,41.5442556,0.09252,47.41219948,-29.37135959,1.276212264,0.076923077,0.8,0.82,0.0743,0.0568,0.1154,0.1416,2.031690141,0.814971751,1.553162853
36,120,1518,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.331200341,53.0511,1.1717,36.30907076,0.087263158,45.27703337,-29.57190109,0.994465799,0.078431373,0.935,0.32,0.0872,0.0677,0.1325,0.1746,1.957163959,0.758877434,1.519495413
37,124,1569,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.209815387,57.5371,1.148,36.36688792,0.088488372,50.11942509,-29.48165742,1.91014181,0.071428571,1.235,1.5,0.108,0.0702,0.1577,0.2046,2.246438746,0.770772239,1.460185185
38,128,1625,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.312117353,56.6234,1.106,38.140335,0.092617117,51.1965642,-29.39141374,1.537833981,0.072727273,1.255,1.1,0.0857,0.0601,0.1266,0.1579,2.106489185,0.801773274,1.477246208
39,132,1680,50-150,100-150,pal_50-150,pal_50-150,pal_100-200,-1.291280682,57.1917,0.9726,31.53143746,0.077186047,58.80289944,-29.23098053,1.799455699,0.071428571,1.285,2.02,0.1093,0.079,0.2064,0.2082,2.612658228,0.991354467,1.888380604
